flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump
ASR172B_20190715,ASR172B,,3924a4,F-GJFE,BE20,,LFBO,,,unclear,unclear,unknown,,,,
THY4SN_20190715,THY4SN,TK7368,4bcc53,TC-SBS,B738,LTBR,LTAC,LTCG,LTAC,unclear,diverted,unknown,,,,
SWA1165_20190715,SWA1165,WN1165,a97db2,N710SW,B737,KPHX,KAUS,KAUS,,,,,,,,
BAW38P_20190719,BAW38P,BA288,40068f,G-CIVN,B744,KPHX,EGLL,EGLL,,medical,planned,unknown,,,,
RPA4599_20190719,RPA4599,AA4599,a00929,N101HQ,E75S,KPHL,KPHL,KSAV,KPHL,cabin_pressure,return,unknown,4caa156c,cabin_pressure,return,unknown
AVA218_20190720,AVA218,AV218,a9aec5,N723AV,A319,SAEZ,,SKBO,,,,,,,,
TIE543H_20190720,TIE543H,,49d304,OK-RAH,BE40,,LFML,,,,,,,,,
NCR320_20190720,NCR320,N8320,a7411e,N567CA,B752,MGMM,KBOS,KBOS,,,,,,,,
GLO9186_20190722,GLO9186,G39186,e49266,PR-GYD,B738,SBFZ,,SBSP,,,,,,,,
AFL2175_20190723,AFL2175,SU2175,42434f,VP-BFF,A321,ENGM,ENGM,UUEE,ENGM,unclear,return,unknown,4cab5bda,cabin_pressure,return,hold_to_reduce
EJA579_20190723,EJA579,,a77147,N579QS,C56X,,KMGE,,,,,,,,,
BTQ864_20190723,BTQ864,4B864,a9b053,N723ST,PC12,KBOS,CYOW,KMSS,CYOW,,,,,,,
DLH469_20190724,DLH469,LH469,3c6571,D-AIKQ,A333,KAUS,,EDDF,,,,,,,,
SWR348_20190725,SWR348,LX348,4b1804,HB-JCM,BCS3,LSGG,,EGLL,LFPG,engine,diverted,unknown,4cac778d,engine,diverted,unknown
DAL237_20190726,DAL237,DL237,a0f4f6,N16065,B763,LIRF,EGLL,KDTW,EGLL,medical,diverted,unknown,,,,
ETH8801_20190727,ETH8801,ET8801,04000b,ET-ALH,B763,VNKT,VIDP,VIDP,,unclear,planned,unknown,,,,
XOJ546_20190729,XOJ546,,a6f04c,N546XJ,CL30,,KCLL,,,,,,,,,
VJC492_20190730,VJC492,VJ492,8880cd,VN-A690,A320,VVBM,VVVH,VVNB,VVVH,,,,,,,
EZY51MJ_20190805,EZY51MJ,U28905,4073a1,G-UZHD,A20N,EGKK,LFBD,LXGB,LFBD,unclear,diverted,unknown,,,,
SWA4321_20190806,SWA4321,WN4321,a1dcf2,N219WN,B737,KMDW,,KATL,,,,,,,,
RYR77FJ_20190807,RYR77FJ,FR7544,4ca564,EI-DPY,B738,EGCC,,LEBL,LFBO,technical,diverted,hold_to_reduce,,,,
AAR762_20190807,AAR762,OZ762,71bf54,HL7754,A333,WIII,RKSI,RKSI,,,,,,,,
JSX204_20190807,JSX204,XE204,a28b00,N263JX,E135,KLAS,KLAX,KOAK,KLAX,unclear,diverted,unknown,,,,
ROU1685_20190808,ROU1685,AC1685,c0482a,C-GBIN,A319,CYUL,CYYJ,CYYJ,,,,,,,,
FDX1429_20190808,FDX1429,FX1429,a7acc5,N594FE,MD11,KMEM,KSMF,KSMF,,,,,,,,
ROU1901_20190809,ROU1901,AC1901,c020e4,C-FMLV,B763,LGAV,EIDW,CYYZ,EIDW,hydraulics,diverted,unknown,4cb86c3a,hydraulics,diverted,unknown
SVR2803_20190809,SVR2803,U62803,424435,VQ-BCE,A321,UUDD,,UCFM,,,,,,,,
EZY79MB_20190810,EZY79MB,U28374,406a91,G-EZWP,A320,LIBR,LFPG,EGKK,LFPG,unclear,diverted,unknown,,,,
QTR920_20190811,QTR920,QR920,06a073,A7-BBC,B77L,OTHH,OTHH,NZAA,OTHH,engine,diverted,fueldump,4cb7362d,engine,return,fueldump
BGA113C_20190812,BGA113C,,394a62,F-GSTC,A3ST,LFBO,LFBO,,LFBO,unclear,return,unknown,,,,
TUI93E_20190813,TUI93E,X32914,3c4961,D-ABKA,B738,EDDL,,LEIB,LFML,unclear,diverted,unknown,,,,
RAM718D_20190813,RAM718D,AT718,020027,CN-RNR,B737,GMMN,LFLL,LFLL,,unclear,unclear,unknown,,,,
ACP2614_20190815,ACP2614,8V2614,505c4d,OM-ACB,B744,EBLG,EBLG,DGAA,EBLG,unclear,return,hold_to_reduce,,,,
AFR11DN_20190816,AFR11DN,AF1000,394c19,F-GTAZ,A321,LFPG,,LEMD,LFBD,technical,return,unknown,4cba3de2,cabin_pressure,diverted,unknown
AFR896_20190816,AFR896,AF896,396441,F-GZCB,A332,LFPG,LFPG,FCBB,LFPG,medical,return,unknown,,,,
EIN28G_20190816,EIN28G,EI286,4ca555,EI-RJI,RJ85,EIDW,EIDW,EGLC,EIDW,unclear,return,unknown,,,,
AFR702_20190816,AFR702,AF702,3949e0,F-GSPA,B772,LFPG,LFPG,DIAP,LFPG,unclear,return,unknown,,,,
UAL1475_20190817,UAL1475,UA1475,ac0b61,N87507,B738,KORD,KMSN,PANC,KMSN,engine,diverted,unknown,,,,
JBU623_20190817,JBU623,B6623,ad9e73,N977JE,A321,KJFK,KCLE,KLAX,KCLE,smoke_burn_smell_flames,diverted,hold_to_reduce,4cbb8147,smoke_burn_smell_flames,diverted,hold_to_reduce
VIR106F_20190819,VIR106F,VS106,406d4c,G-VCRU,B789,KSEA,,EGLL,,,,,,,,
FRS51_20190820,FRS51,,896c24,954,PC21,,OMDW,,,,,,,,,
AFR1145_20190820,AFR1145,AF1145,3944e1,F-GRHB,A319,UUEE,ELLX,LFPG,ELLX,unclear,diverted,unknown,4cbcbfb7,brakes,diverted,unknown
DAL173_20190820,DAL173,DL173,ab20e7,N816NW,A333,LIMC,LFPG,KJFK,LFPG,unclear,diverted,fueldump,,,,
DAL773_20190820,DAL773,DL773,a3f120,N353NB,A319,KBOI,,KSLC,,,,,,,,
SKW4165_20190821,SKW4165,DL4165,aca5ff,N914EV,CRJ2,KTVC,KDTW,KDTW,,unclear,unclear,unknown,,,,
DLX49_20190822,DLX49,,a60e77,N49HJ,HDJT,KVNY,KLAS,KSAC,KLAS,,,,,,,
AAL542_20190822,AAL542,AA542,a8ce4f,N667AW,A320,KPHX,KSMF,KSMF,,,,,,,,
DAL982_20190822,DAL982,DL982,ad3c27,N952AT,B712,KATL,KTLH,KTLH,,,,,,,,
UAL1413_20190823,UAL1413,UA1413,a533bd,N434UA,A320,KSEA,,KDEN,,,,,,,,
ASH6300_20190823,ASH6300,YV6300,ac52f2,N89308,E75L,KIAH,KRDU,MMGL,KRDU,,,,,,,
ASH5875_20190824,ASH5875,AA5875,ac8d6a,N908FJ,CRJ9,KMLI,KMCI,KDFW,KMCI,unclear,diverted,unknown,,,,
DAL2454_20190824,DAL2454,DL2454,a8e2d6,N67171,B752,KSNA,KATL,KATL,,,,,,,,
HAL481_20190825,HAL481,HA481,a455ea,N379HA,A332,PHNL,NTAA,NTAA,,,,,,,,
